cpu_percent,mem_percent,time_stamp
0.0,57.7,2020-10-21 17:37:57.212594
0.0,57.7,2020-10-21 17:37:58.224416
20.8,57.8,2020-10-21 17:37:59.233594
41.7,57.9,2020-10-21 17:38:00.246617
25.0,57.9,2020-10-21 17:38:01.251454
20.8,57.9,2020-10-21 17:38:02.268641
41.7,58.0,2020-10-21 17:38:03.276801
16.7,58.0,2020-10-21 17:38:04.278184
12.5,57.9,2020-10-21 17:38:05.287366
25.0,58.0,2020-10-21 17:38:06.298160
16.7,57.8,2020-10-21 17:38:07.310124
18.8,57.8,2020-10-21 17:38:08.319255
29.4,57.8,2020-10-21 17:38:09.323138
18.8,57.9,2020-10-21 17:38:10.330650
18.8,57.8,2020-10-21 17:38:11.343354
18.8,57.8,2020-10-21 17:38:12.355133
56.2,57.9,2020-10-21 17:38:13.370614
12.5,57.9,2020-10-21 17:38:14.371140
12.5,58.1,2020-10-21 17:38:15.375526
12.5,58.1,2020-10-21 17:38:16.383329
77.3,58.7,2020-10-21 17:38:17.516100
58.3,58.7,2020-10-21 17:38:18.535113
0.0,58.1,2020-10-21 17:38:19.545066
19.6,58.1,2020-10-21 17:38:20.551234
0.0,58.2,2020-10-21 17:38:21.564598
0.0,58.2,2020-10-21 17:38:22.571240
0.0,58.6,2020-10-21 17:38:23.667641
0.0,61.5,2020-10-21 17:38:24.824462
100.0,60.9,2020-10-21 17:38:25.924492
25.0,57.5,2020-10-21 17:37:55.375711
24.5,57.7,2020-10-21 17:37:56.376693
25.0,57.7,2020-10-21 17:37:57.380102
8.3,57.7,2020-10-21 17:37:58.394948
77.8,57.8,2020-10-21 17:37:59.430826
22.7,57.9,2020-10-21 17:38:00.441891
18.2,57.9,2020-10-21 17:38:01.455411
18.2,57.8,2020-10-21 17:38:02.476312
18.2,57.9,2020-10-21 17:38:03.477998
22.0,57.9,2020-10-21 17:38:04.480032
27.5,58.0,2020-10-21 17:38:05.490065
32.5,58.2,2020-10-21 17:38:06.502421
32.5,57.8,2020-10-21 17:38:07.510616
27.5,57.8,2020-10-21 17:38:08.518046
25.0,57.8,2020-10-21 17:38:09.524530
16.2,57.7,2020-10-21 17:38:10.530676
25.0,57.8,2020-10-21 17:38:11.549442
20.0,57.8,2020-10-21 17:38:12.557170
17.1,57.9,2020-10-21 17:38:13.565720
34.1,58.1,2020-10-21 17:38:14.574767
26.3,58.1,2020-10-21 17:38:15.576149
30.0,58.1,2020-10-21 17:38:16.582344
80.0,59.2,2020-10-21 17:38:17.597058
43.8,59.0,2020-10-21 17:38:18.600107
18.8,58.1,2020-10-21 17:38:19.605904
12.5,58.1,2020-10-21 17:38:20.613608
18.8,58.2,2020-10-21 17:38:21.639452
70.0,58.2,2020-10-21 17:38:22.650242
0.0,58.6,2020-10-21 17:38:23.667641
100.0,61.5,2020-10-21 17:38:24.824462
0.0,60.9,2020-10-21 17:38:25.925490
0.0,59.5,2020-10-21 17:38:26.945411
40.0,57.6,2020-10-21 17:37:56.531887
0.0,57.7,2020-10-21 17:37:57.537181
0.0,57.8,2020-10-21 17:37:58.549230
73.5,57.8,2020-10-21 17:37:59.557620
21.2,57.8,2020-10-21 17:38:00.566202
0.0,57.8,2020-10-21 17:38:01.579898
17.2,57.9,2020-10-21 17:38:02.590622
0.0,58.0,2020-10-21 17:38:03.603306
0.0,57.9,2020-10-21 17:38:04.618446
0.0,58.0,2020-10-21 17:38:05.632890
0.0,58.1,2020-10-21 17:38:06.641220
25.0,57.8,2020-10-21 17:38:07.650537
0.0,57.8,2020-10-21 17:38:08.658437
0.0,57.9,2020-10-21 17:38:09.662459
50.0,57.8,2020-10-21 17:38:10.672053
25.0,57.8,2020-10-21 17:38:11.685832
0.0,57.8,2020-10-21 17:38:12.696253
0.0,57.9,2020-10-21 17:38:13.703586
80.0,58.1,2020-10-21 17:38:14.712450
0.0,58.1,2020-10-21 17:38:15.716106
0.0,58.1,2020-10-21 17:38:16.720638
0.0,58.3,2020-10-21 17:38:17.734059
0.0,59.1,2020-10-21 17:38:18.776109
22.2,58.1,2020-10-21 17:38:19.776923
0.0,58.2,2020-10-21 17:38:20.787085
0.0,58.2,2020-10-21 17:38:21.800985
0.0,58.2,2020-10-21 17:38:22.937229
100.0,59.7,2020-10-21 17:38:24.396892
0.0,60.8,2020-10-21 17:38:25.399345
100.0,61.3,2020-10-21 17:38:26.414687
83.6,58.8,2020-10-21 17:38:27.462411
95.8,57.7,2020-10-21 17:37:55.735553
42.9,57.7,2020-10-21 17:37:56.749508
13.8,57.7,2020-10-21 17:37:57.755524
20.8,57.8,2020-10-21 17:37:58.765880
62.1,57.9,2020-10-21 17:37:59.773619
25.0,57.8,2020-10-21 17:38:00.791922
10.7,57.8,2020-10-21 17:38:01.796972
12.5,57.9,2020-10-21 17:38:02.814743
10.7,57.9,2020-10-21 17:38:03.816740
10.7,57.9,2020-10-21 17:38:04.820630
28.6,58.0,2020-10-21 17:38:05.832497
12.5,57.8,2020-10-21 17:38:06.843846
10.7,57.7,2020-10-21 17:38:07.852779
31.0,57.8,2020-10-21 17:38:08.863332
32.1,57.8,2020-10-21 17:38:09.864091
28.1,57.8,2020-10-21 17:38:10.896267
25.0,57.8,2020-10-21 17:38:11.905816
40.6,57.9,2020-10-21 17:38:12.914959
65.0,58.8,2020-10-21 17:38:13.922494
35.0,58.2,2020-10-21 17:38:14.930934
35.0,58.1,2020-10-21 17:38:15.933957
8.3,58.1,2020-10-21 17:38:16.938939
45.0,58.3,2020-10-21 17:38:17.951066
0.0,58.2,2020-10-21 17:38:19.087180
0.0,58.1,2020-10-21 17:38:20.101038
0.0,58.1,2020-10-21 17:38:21.110847
0.0,58.2,2020-10-21 17:38:22.122997
100.0,58.2,2020-10-21 17:38:23.197258
0.0,59.7,2020-10-21 17:38:24.406463
0.0,60.8,2020-10-21 17:38:25.414341
100.0,61.3,2020-10-21 17:38:26.428676
0.0,58.8,2020-10-21 17:38:27.463410
17.5,57.4,2020-10-21 17:37:52.798886
23.1,57.3,2020-10-21 17:37:53.811018
35.0,57.5,2020-10-21 17:37:54.818112
64.3,57.7,2020-10-21 17:37:55.831551
25.0,57.6,2020-10-21 17:37:56.840668
25.0,57.7,2020-10-21 17:37:57.848357
0.0,57.7,2020-10-21 17:37:58.859810
25.0,57.8,2020-10-21 17:37:59.869648
0.0,57.9,2020-10-21 17:38:00.877240
12.5,57.8,2020-10-21 17:38:01.892295
0.0,57.9,2020-10-21 17:38:02.904418
50.0,57.9,2020-10-21 17:38:03.943861
0.0,58.0,2020-10-21 17:38:04.944823
18.8,58.0,2020-10-21 17:38:05.956917
28.6,57.8,2020-10-21 17:38:06.968551
0.0,57.7,2020-10-21 17:38:07.976149
6.2,57.7,2020-10-21 17:38:08.983106
0.0,57.8,2020-10-21 17:38:09.990036
12.5,57.8,2020-10-21 17:38:11.001202
0.0,57.8,2020-10-21 17:38:12.016375
